iter	RMSE
0	1.154421603
1	1.109269175
2	1.067827716
3	1.029262882
4	0.9938764513
5	0.9609275598
6	0.9306725648
7	0.9026090528
8	0.8766810843
9	0.8524846116
10	0.8304929191
11	0.8102626393
12	0.7912315364
13	0.7738017871
14	0.7581206315
15	0.743451614
16	0.7298923093
17	0.7174814876
18	0.7063502409
19	0.694957866
20	0.6844180963
21	0.6750258666
22	0.6665757061
23	0.6578701557
24	0.6502827183
25	0.6434358585
26	0.6372293284
27	0.6315221668
28	0.6262789591
29	0.6214963173
30	0.6170006364
31	0.6128351675
32	0.6091026043
33	0.6056568286
34	0.6023269163
35	0.5988793434
36	0.5959331298
37	0.5929827303
38	0.5906252285
39	0.5883348443
40	0.5861271658
41	0.5834529898
42	0.5815036114
43	0.5788715027
44	0.5767174369
45	0.5749762902
46	0.5728775285
47	0.5709073693
48	0.5692002498
49	0.5676490476
50	0.5661427234
51	0.5644502837
52	0.5629888294
53	0.5618700387
54	0.5605853592
55	0.5594670018
56	0.558527385
57	0.557620064
58	0.5567077863
59	0.5556695982
60	0.5546977375
61	0.5538864807
62	0.5531439949
63	0.5522580942
64	0.5514358665
65	0.5507476695
66	0.5499386117
67	0.5491942562
68	0.5483518474
69	0.5477610977
70	0.5472695749
71	0.546470211
72	0.5458997164
73	0.545267985
74	0.5448045261
75	0.5442921438
76	0.5436456747
77	0.5432196553
78	0.5429364046
79	0.5423425721
80	0.5417291168
81	0.5413764577
82	0.5409585042
83	0.5403103108
84	0.5396564577
85	0.5392960443
86	0.5388497121
87	0.5383069783
88	0.5378338407
89	0.5373842941
90	0.5369988423
91	0.5365904689
92	0.5362568924
93	0.5359109504
94	0.5355360911
95	0.5353059469
96	0.5348673207
97	0.5345153211
98	0.5339545871
99	0.5334905824
100	0.5332229169
101	0.5329007063
102	0.5326007229
103	0.5323416851
104	0.5320042045
105	0.5317156419
106	0.5312384403
107	0.5308723899
108	0.5305848858
109	0.5302898128
110	0.529902446
111	0.5295759761
112	0.5293931767
113	0.5290184148
114	0.5287375184
115	0.5285601235
116	0.5283055486
117	0.5280205756
118	0.5276567617
119	0.5274014278
120	0.5271614944
121	0.5268710668
122	0.5266162129
123	0.5262369366
124	0.526097615
125	0.5258981447
126	0.5257082875
127	0.5255451864
128	0.5252367343
129	0.5250203258
130	0.5248718327
131	0.5245807854
132	0.5242526842
133	0.5240609127
134	0.5237882588
135	0.5235803599
136	0.52333701
137	0.5230244413
138	0.5228271438
139	0.522610699
140	0.5224847653
141	0.5222142901
142	0.5220781408
143	0.5219350159
144	0.52171777
145	0.5215202527
146	0.5213349354
147	0.5211843235
148	0.5209549438
149	0.5206645747
150	0.5205076397
151	0.5203474018
152	0.5201483754
153	0.5199617626
154	0.5195540737
155	0.5193937272
156	0.5191391657
157	0.5189987822
158	0.518783004
159	0.5185189024
160	0.5183628693
161	0.5181179404
162	0.5179831345
163	0.5178236534
164	0.5176642719
165	0.5174101326
166	0.5172605694
167	0.5170436381
168	0.5169226096
169	0.5167407881
170	0.5165401918
171	0.5163686191
172	0.5161545488
173	0.5159994423
174	0.5158547951
175	0.5157517939
176	0.5156185313
177	0.5154029657
178	0.5152530101
179	0.5151401299
180	0.5150069188
181	0.5148216062
182	0.5146902751
183	0.5144950397
184	0.5143054153
185	0.5141757662
186	0.5140292176
187	0.5139180999
188	0.513752512
189	0.5136302635
190	0.5135173721
191	0.5133974089
192	0.5132571601
193	0.5130812063
194	0.512958298
195	0.5128065349
196	0.5127071515
197	0.5125728876
198	0.5124868951
199	0.5122895312
200	0.5120678258
201	0.5119248414
202	0.511807782
203	0.5116748798
204	0.5115873377
205	0.5114582436
206	0.5112486907
207	0.5111106663
208	0.5109062278
209	0.5106747578
210	0.5105629762
211	0.5103959782
212	0.5102916986
213	0.5102012055
214	0.5100826725
215	0.5098539205
216	0.509761266
217	0.5096406005
218	0.5093391
219	0.5092272046
220	0.5090576574
221	0.5089461701
222	0.5087546773
223	0.5086661656
224	0.5084961962
225	0.5083318995
226	0.5081972485
227	0.5081253323
228	0.5079939682
229	0.5078931068
230	0.5077641115
231	0.5076571586
232	0.5075750821
233	0.5074724989
234	0.5074112108
235	0.5073336115
236	0.50724807
237	0.5071319837
238	0.5070298775
239	0.506895387
240	0.5067697883
241	0.5066562928
242	0.5065413976
243	0.5063785944
244	0.5061973044
245	0.506094476
246	0.5059777217
247	0.5058915071
248	0.505823518
249	0.5056941305
250	0.5055966203
251	0.5054507644
252	0.5053855073
253	0.5052175325
254	0.5051212454
255	0.5050047552
256	0.5049210301
257	0.5048198647
258	0.504776081
259	0.5046001969
260	0.5044985632
261	0.5044212696
262	0.5043031883
263	0.5041415093
264	0.5040811331
265	0.5040042035
266	0.5039372474
267	0.5038004154
268	0.5036153508
269	0.5035250058
270	0.5034622422
271	0.5033788239
272	0.5032691476
273	0.5031409392
274	0.5030387216
275	0.502940985
276	0.5028025559
277	0.502630364
278	0.5025526436
279	0.502485393
280	0.5024012137
281	0.5023222546
282	0.5021744342
283	0.5020764874
284	0.5019832502
285	0.5018377341
286	0.501671368
287	0.5015978647
288	0.5014608396
289	0.5013283033
290	0.5012649188
291	0.501187723
292	0.5011278764
293	0.5010372288
294	0.5008812206
295	0.5007947406
296	0.5007407415
297	0.5006787421
298	0.5005819727
299	0.5004867985
300	0.5003873682
301	0.500297476
302	0.5002098587
303	0.5001334406
304	0.500032133
305	0.4999824177
306	0.4999140994
307	0.4998169141
308	0.4997491293
309	0.499713526
310	0.499584759
311	0.499531002
312	0.499423855
313	0.4993278704
