iter	Passed	Remaining
0	563	351371
1	983	306320
2	1445	299743
3	1856	288192
4	2307	286094
5	2739	282630
6	3164	279392
7	3606	278188
8	4059	277851
9	4461	274367
10	4878	272294
11	5328	272178
12	5751	270786
13	6196	270422
14	6636	269878
15	7065	268939
16	7494	268025
17	7899	266405
18	8326	265563
19	8743	264483
20	9102	261814
21	9499	260380
22	9859	258067
23	10237	256367
24	10545	253083
25	10878	250634
26	11219	248484
27	11602	247374
28	11986	246350
29	12393	245810
30	12791	245102
31	13205	244715
32	13626	244455
33	13959	242651
34	14333	241625
35	14763	241547
36	15185	241326
37	15561	240377
38	15978	240080
39	16338	238944
40	16679	237581
41	17097	237327
42	17490	236725
43	17870	235969
44	18256	235306
45	18658	234848
46	19003	233699
47	19359	232718
48	19735	231993
49	20097	231121
50	20465	230333
51	20849	229740
52	21233	229160
53	21620	228613
54	22048	228502
55	22409	227694
56	22804	227241
57	23183	226639
58	23581	226220
59	23974	225761
60	24321	224877
61	24696	224257
62	25056	223517
63	25391	222571
64	25784	222146
65	26190	221823
66	26647	221929
67	27087	221880
68	27385	220672
69	27776	220228
70	28172	219824
71	28590	219594
72	28976	219108
73	29349	218531
74	29704	217831
75	30091	217374
76	30463	216805
77	30848	216336
78	31296	216305
79	31728	216148
80	32067	215366
81	32480	215081
82	32886	214752
83	33233	214037
84	33612	213540
85	34046	213382
86	34373	212563
87	34783	212256
88	35192	211946
89	35499	211025
90	35856	210411
91	36266	210107
92	36642	209608
93	37035	209209
94	37421	208770
95	37891	208799
96	38314	208559
97	38711	208171
98	39148	208000
99	39594	207871
100	39929	207160
101	40387	207084
102	40794	206745
103	41216	206479
104	41590	205971
105	41999	205638
106	42383	205182
107	42715	204481
108	43192	204473
109	43545	203870
110	43948	203509
111	44384	203297
112	44674	202420
113	45018	201793
114	45438	201508
115	45857	201217
116	46249	200809
117	46636	200377
118	47011	199898
119	47398	199467
120	47804	199121
121	48149	198516
122	48568	198223
123	48968	197849
124	49377	197508
125	49837	197372
126	50177	196760
127	50548	196268
128	50953	195912
129	51261	195188
130	51617	194651
131	52015	194270
132	52422	193924
133	52853	193664
134	53291	193429
135	53738	193222
136	54161	192926
137	54616	192739
138	55061	192518
139	55426	192014
140	55816	191597
141	56235	191281
142	56634	190892
143	57087	190689
144	57465	190232
145	57945	190108
146	58305	189592
147	58606	188886
148	59068	188703
149	59454	188273
150	59873	187948
151	60221	187400
152	60635	187058
153	60986	186524
154	61381	186124
155	61746	185635
156	62162	185298
157	62538	184844
158	62913	184387
159	63318	184019
160	63733	183679
161	64076	183133
162	64464	182714
163	64806	182168
164	65161	181663
165	65579	181332
166	65961	180899
167	66346	180478
168	66653	179845
169	67030	179404
170	67443	179059
171	67819	178617
172	68212	178220
173	68681	178020
174	69146	177806
175	69540	177407
176	69947	177043
177	70298	176537
178	70700	176158
179	71061	175678
180	71438	175240
181	71787	174735
182	72195	174374
183	72575	173943
184	73014	173655
185	73334	173084
186	73735	172707
187	74124	172300
188	74425	171690
189	74784	171217
190	75246	170978
191	75622	170545
192	76048	170222
193	76505	169968
194	76875	169520
195	77296	169183
196	77737	168890
197	78160	168558
198	78571	168197
199	78952	167774
200	79392	167473
201	79774	167051
202	80211	166744
203	80687	166516
204	81195	166352
205	81647	166068
206	82074	165734
207	82504	165405
208	82938	165082
209	83375	164765
210	83826	164475
211	84219	164069
212	84637	163711
213	85050	163344
214	85476	163002
215	85931	162712
216	86384	162418
217	86754	161967
218	87148	161562
219	87481	161046
220	87986	160844
221	88401	160475
222	88808	160093
223	89186	159659
224	89680	159431
225	90047	158977
226	90428	158548
227	90858	158206
228	91282	157851
229	91751	157572
230	92207	157271
231	92636	156923
232	93059	156564
233	93395	156058
234	93838	155732
235	94213	155292
236	94669	154986
237	95082	154608
238	95509	154253
239	95952	153923
240	96414	153622
241	96869	153310
242	97255	152886
243	97635	152455
244	98023	152035
245	98429	151645
246	98840	151261
247	99306	150961
248	99735	150605
249	100213	150320
250	100578	149865
251	100966	149445
252	101351	149022
253	101777	148659
254	102158	148229
255	102612	147906
256	103035	147537
257	103413	147104
258	103863	146772
259	104286	146402
260	104758	146099
261	105069	145573
262	105490	145199
263	105872	144772
264	106307	144417
265	106741	144060
266	107164	143689
267	107583	143310
268	107991	142917
269	108371	142489
270	108797	142118
271	109143	141645
272	109543	141242
273	110034	140956
274	110455	140579
275	110792	140095
276	111218	139725
277	111613	139315
278	112065	138977
279	112399	138492
280	112797	138086
281	113253	137751
282	113701	137405
283	114113	137016
284	114500	136597
285	114884	136174
286	115244	135724
287	115727	135416
288	116195	135092
289	116588	134679
290	116936	134215
291	117347	133824
292	117742	133414
293	118142	133011
294	118548	132613
295	118992	132258
296	119376	131836
297	119721	131372
298	120163	131014
299	120541	130586
300	120926	130166
301	121344	129782
302	121787	129423
303	122157	128988
304	122507	128532
305	122923	128145
306	123353	127773
307	123771	127387
308	124163	126976
309	124573	126582
310	124982	126187
311	125328	125730
312	125642	125240
313	126109	124905
314	126590	124581
315	126965	124152
316	127328	123713
317	127743	123324
318	128188	122964
319	128617	122588
320	128971	122140
321	129390	121755
322	129814	121374
323	130208	120965
324	130657	120606
325	131086	120229
326	131387	119735
327	131788	119333
328	132197	118937
329	132583	118521
330	133048	118175
331	133377	117710
332	133778	117307
333	134210	116931
334	134707	116612
335	135117	116216
336	135562	115851
337	135977	115460
338	136422	115093
339	136847	114710
340	137258	114314
341	137658	113910
342	138080	113523
343	138526	113156
344	138999	112811
345	139374	112385
346	139752	111963
347	140172	111574
348	140576	111172
349	141045	110821
350	141467	110433
351	141927	110074
352	142386	109714
353	142835	109346
354	143223	108930
355	143675	108564
356	144069	108153
357	144415	107706
358	144786	107278
359	145209	106890
360	145667	106526
361	146070	106123
362	146484	105727
363	146890	105325
364	147266	104902
365	147691	104514
366	148063	104088
367	148448	103671
368	148770	103212
369	149117	102770
370	149493	102348
371	149931	101969
372	150285	101533
373	150668	101117
374	151109	100739
375	151612	100403
376	151976	99974
377	152423	99599
378	152854	99214
379	153247	98804
380	153681	98420
381	154063	98003
382	154474	97605
383	154940	97241
384	155267	96790
385	155702	96406
386	156154	96032
387	156582	95644
388	157041	95274
389	157378	94830
390	157837	94460
391	158245	94059
392	158741	93709
393	159132	93298
394	159586	92923
395	160018	92535
396	160362	92097
397	160789	91706
398	161214	91314
399	161599	90899
400	162003	90495
401	162408	90092
402	162806	89684
403	163266	89311
404	163701	88924
405	164156	88547
406	164588	88157
407	165005	87760
408	165460	87382
409	165900	86996
410	166364	86622
411	166764	86215
412	167172	85812
413	167563	85400
414	167963	84993
415	168338	84573
416	168762	84178
417	169139	83760
418	169604	83385
419	169999	82975
420	170391	82565
421	170821	82172
422	171272	81789
423	171635	81364
424	172012	80947
425	172416	80542
426	172833	80143
427	173243	79740
428	173647	79335
429	173975	78896
430	174357	78481
431	174764	78077
432	175162	77670
433	175560	77262
434	175893	76827
435	176345	76443
436	176798	76059
437	177240	75671
438	177676	75279
439	178164	74909
440	178559	74500
441	178896	74068
442	179312	73667
443	179738	73271
444	180165	72875
445	180550	72463
446	181007	72078
447	181439	71684
448	181901	71302
449	182305	70896
450	182686	70482
451	183133	70093
452	183520	69681
453	183961	69289
454	184351	68878
455	184793	68487
456	185244	68098
457	185651	67694
458	186030	67278
459	186529	66907
460	186966	66513
461	187434	66129
462	187863	65732
463	188309	65340
464	188765	64951
465	189216	64560
466	189618	64153
467	190063	63760
468	190522	63372
469	190922	62963
470	191393	62578
471	191843	62186
472	192272	61787
473	192684	61382
474	193084	60974
475	193443	60552
476	193818	60136
477	194217	59727
478	194628	59322
479	195064	58925
480	195526	58536
481	196065	58168
482	196528	57778
483	196967	57381
484	197443	56994
485	197878	56594
486	198252	56178
487	198678	55776
488	199233	55410
489	199646	55004
490	200104	54610
491	200436	54182
492	200846	53776
493	201215	53358
494	201558	52934
495	201944	52521
496	202321	52106
497	202742	51703
498	203189	51306
499	203566	50891
500	203956	50480
501	204353	50070
502	204727	49655
503	205197	49263
504	205645	48866
505	206035	48454
506	206428	48044
507	206807	47630
508	207200	47220
509	207603	46812
510	208010	46405
511	208387	45991
512	208792	45584
513	209196	45176
514	209643	44778
515	210088	44379
516	210503	43973
517	210875	43559
518	211284	43152
519	211688	42744
520	212145	42347
521	212617	41953
522	213009	41542
523	213444	41140
524	213901	40743
525	214389	40350
526	214818	39947
527	215226	39539
528	215744	39152
529	216173	38748
530	216591	38341
531	217053	37943
532	217459	37535
533	217887	37130
534	218254	36715
535	218720	36317
536	219183	35918
537	219590	35509
538	220055	35110
539	220540	34714
540	221008	34315
541	221532	33924
542	221937	33515
543	222361	33108
544	222813	32706
545	223295	32308
546	223707	31899
547	224122	31491
548	224583	31089
549	224939	30673
550	225316	30260
551	225752	29855
552	226197	29450
553	226586	29039
554	226936	28622
555	227273	28204
556	227631	27789
557	228023	27379
558	228442	26971
559	228876	26566
560	229331	26162
561	229745	25754
562	230139	25343
563	230555	24935
564	231048	24536
565	231516	24133
566	231943	23726
567	232427	23324
568	232835	22915
569	233294	22510
570	233697	22100
571	234118	21692
572	234488	21279
573	234884	20869
574	235291	20460
575	235721	20052
576	236176	19647
577	236620	19240
578	237010	18829
579	237478	18425
580	237896	18016
581	238316	17607
582	238762	17200
583	239231	16795
584	239626	16384
585	240014	15973
586	240450	15565
587	240847	15155
588	241335	14750
589	241729	14339
590	242132	13929
591	242540	13519
592	242895	13107
593	243290	12696
594	243696	12287
595	244053	11875
596	244461	11465
597	244890	11056
598	245345	10649
599	245778	10240
600	246236	9833
601	246635	9422
602	247076	9014
603	247542	8606
604	247978	8197
605	248441	7789
606	248888	7380
607	249380	6972
608	249829	6563
609	250176	6151
610	250654	5743
611	251114	5334
612	251491	4923
613	251980	4514
614	252419	4104
615	252872	3694
616	253291	3284
617	253638	2872
618	254051	2462
619	254489	2052
620	254879	1641
621	255344	1231
622	255763	821
623	256194	410
624	256656	0
